LowRank_U	LowRank_V	p7	p8	Top1avgRec	Top1stdRec	Top2avgRec	Top2stdRec	Top3avgRec	Top3stdRec	Top4avgRec	Top4stdRec
  768	    4	0.33	0.66	0.22182	0.024445	0.49729	0.016145	0.71599	0.0068093	0.88649	0.0056456
  768	    4	0.33	0.99	0.25106	0.0099686	0.51756	0.010244	0.71625	0.0062193	0.88654	0.005819
  768	    4	0.66	0	0.252	0.015062	0.50553	0.015054	0.71644	0.0063524	0.88654	0.005819
  768	    4	0.66	0.33	0.24284	0.014058	0.5008	0.016403	0.71824	0.0063582	0.88654	0.005819
  768	    4	0.66	0.66	0.2445	0.010645	0.49266	0.010814	0.71539	0.0050889	0.88654	0.005819
  768	    4	0.66	0.99	0.24845	0.0071637	0.49658	0.0091351	0.71763	0.0054737	0.88661	0.005895
  768	    4	0.99	0	0.2447	0.0069513	0.49652	0.0057711	0.71738	0.0068414	0.88654	0.005819
  768	    4	0.99	0.33	0.24688	0.0079523	0.49428	0.0077569	0.71586	0.0053155	0.88654	0.005819
  768	    4	0.99	0.66	0.25694	0.017814	0.49549	0.008384	0.71808	0.0065493	0.88654	0.005819
  768	    4	0.99	0.99	0.24603	0.0066363	0.49357	0.0070179	0.71821	0.0058793	0.88654	0.005819
  768	    5	0	0	0.10125	0.025219	0.27196	0.034612	0.5444	0.035503	0.79483	0.024492
  768	    5	0	0.33	0.1025	0.032484	0.26664	0.037636	0.49785	0.037538	0.77419	0.030231
  768	    5	0	0.66	0.09213	0.024038	0.2767	0.038676	0.52031	0.043247	0.78139	0.043824
  768	    5	0	0.99	0.10402	0.037167	0.28031	0.021488	0.53929	0.043296	0.80993	0.03058
  768	    5	0.33	0	0.2239	0.015521	0.50306	0.015382	0.71434	0.0043913	0.88658	0.0058232
  768	    5	0.33	0.33	0.23069	0.015289	0.50538	0.022489	0.71392	0.0053841	0.88614	0.0053865
  768	    5	0.33	0.66	0.23368	0.026737	0.48482	0.017022	0.71415	0.0085179	0.88723	0.0047373
  768	    5	0.33	0.99	0.23989	0.029185	0.50911	0.015498	0.71437	0.0075351	0.88663	0.0052154
  768	    5	0.66	0	0.25494	0.021183	0.49492	0.012382	0.71609	0.0062227	0.88654	0.005819
  768	    5	0.66	0.33	0.24932	0.012543	0.50111	0.015059	0.71713	0.0065266	0.88654	0.005819
  768	    5	0.66	0.66	0.23555	0.013641	0.48951	0.0092623	0.71685	0.0069315	0.88654	0.005819
  768	    5	0.66	0.99	0.25112	0.019493	0.4974	0.014287	0.7147	0.0043081	0.88654	0.005819
  768	    5	0.99	0	0.24516	0.0092162	0.49081	0.0071795	0.71678	0.0055069	0.88654	0.005819
  768	    5	0.99	0.33	0.25978	0.020925	0.50389	0.013701	0.71921	0.0033065	0.88654	0.005819
  768	    5	0.99	0.66	0.25062	0.011968	0.49779	0.011856	0.716	0.0054574	0.88654	0.005819
  768	    5	0.99	0.99	0.24392	0.0084237	0.49579	0.0097757	0.71747	0.005556	0.88654	0.005819
 1024	    2	0	0	0.19509	0.018902	0.38765	0.018662	0.58996	0.025175	0.81585	0.032553
 1024	    2	0	0.33	0.20892	0.020955	0.36531	0.019979	0.57312	0.042158	0.83881	0.025244
 1024	    2	0	0.66	0.19499	0.025137	0.39227	0.022275	0.59767	0.018525	0.83341	0.01758
 1024	    2	0	0.99	0.18363	0.015962	0.35407	0.018099	0.56275	0.027634	0.83144	0.013747
 1024	    2	0.33	0	0.25601	0.017242	0.50718	0.017461	0.71666	0.0057571	0.88636	0.0057059
 1024	    2	0.33	0.33	0.23721	0.01041	0.49132	0.014452	0.71588	0.0058444	0.88642	0.0059148
 1024	    2	0.33	0.66	0.25385	0.0087297	0.50296	0.016031	0.71591	0.0060999	0.88658	0.0058232
 1024	    2	0.33	0.99	0.24681	0.011671	0.49624	0.0071122	0.7161	0.0062085	0.88654	0.005819
 1024	    2	0.66	0	0.24421	0.0060569	0.49431	0.0075588	0.7161	0.0062085	0.88654	0.005819
 1024	    2	0.66	0.33	0.24321	0.0077346	0.48877	0.0072623	0.71658	0.0056189	0.88654	0.005819
 1024	    2	0.66	0.66	0.24344	0.0061988	0.49468	0.0070774	0.71558	0.0053732	0.88654	0.005819
 1024	    2	0.66	0.99	0.24514	0.0071249	0.49654	0.0060988	0.71782	0.0074548	0.88654	0.005819
 1024	    2	0.99	0	0.24396	0.006501	0.49527	0.007866	0.71637	0.0058587	0.88654	0.005819
 1024	    2	0.99	0.33	0.24292	0.0039905	0.49356	0.0080289	0.71559	0.0053888	0.88654	0.005819
 1024	    2	0.99	0.66	0.24315	0.0065902	0.49533	0.0078949	0.7161	0.0062085	0.88654	0.005819
