Index	ZINCID	InChIKey	SMILES
138	ZINC00003189	BSMNRYCSBFHEMQ-KCJUWKMLSA-O	C1[C@H]2[C@@]1(C[NH2+]C2)C3=CC(=C(C=C3)Cl)Cl
139	ZINC00003275	FRXXZKCFLLWYIW-UHFFFAOYSA-O	Nc1c2CCc3c(c2[nH+]c2c1cccc2)cccc3
140	ZINC00003709	XHYBFCBDMIPDON-UHFFFAOYSA-N	C1CC(=O)NN(C1)C2=CC=CC=C2
141	ZINC00003711	HLVVITIHAZBPKB-NSHDSACASA-O	O[C@H]1CCCc2c1c(N)c1c([nH+]2)cccc1
142	ZINC00003724	QCCHBHSAIQIQGO-UHFFFAOYSA-N	C1=CC2=C(C=C1F)C3(C4=C2C=CC(=C4)F)C(=O)NC(=O)N3
143	ZINC00003741	PQWGEDAZDHRHKD-UHFFFAOYSA-N	C1=CSC=C1CN2C=CNC2=S
144	ZINC00003742	OGJPXUAPXNRGGI-UHFFFAOYSA-N	CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
145	ZINC00003761	CLDJCRWXLDLJLO-AWEZNQCLSA-M	[O-]C(=O)CN1C(=S)[C@@H](Oc2c1cccc2C(C)C)C(C)C
146	ZINC00003767	DJEIHHYCDCTAAH-UHFFFAOYSA-M	COc1ccc(cc1)c1c(onc1c1ccc(cc1)OC)CC(=O)[O-]
147	ZINC00003803	VAZAPHZUAVEOMC-UHFFFAOYSA-N	CC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2N
148	ZINC00003876	ZAFYATHCZYHLPB-UHFFFAOYSA-N	CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C
149	ZINC00003897	DMJWENQHWZZWDF-PKOBYXMFSA-O	C[NH+]1CCc2c([C@@H]3[C@@H]1CCc1c3cccc1)cc(c(c2)Cl)O
150	ZINC00003911	JRWZLRBJNMZMFE-CYBMUJFWSA-O	Oc1ccc(cc1)CC[C@H]([NH2+]CCc1ccc(c(c1)O)O)C
151	ZINC00003941	WVVXBPKOIZGVNS-UHFFFAOYSA-N	CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3
